var,category,var_variant,variant_notes,analytic_core,domain,coalesced,coalesce_notes,binarized_logic,binarize_notes
ABANY,Legalized abortion,ABANYG,gridded experiment (-g),1,Social Attitudes & Morality,1,"if_else(form == 1 & !is.na(abanyg), abanyg, abany)",binary,NA
ABDEFECT,Legalized abortion,ABDEFECTG,gridded experiment (-g),1,Social Attitudes & Morality,1,"if_else(form == 1 & !is.na(abdefectg), abdefectg, abdefect)",binary,NA
ABHLTH,Legalized abortion,ABHLTHG,gridded experiment (-g),1,Social Attitudes & Morality,1,"if_else(form == 1 & !is.na(abhlthg), abhlthg, abhlth)",binary,NA
ABNOMORE,Legalized abortion,ABNOMOREG,gridded experiment (-g),1,Social Attitudes & Morality,1,"if_else(form == 1 & !is.na(abnomoreg), abnomoreg, abnomore)",binary,NA
ABPOOR,Legalized abortion,ABPOORG,gridded experiment (-g),1,Social Attitudes & Morality,1,"if_else(form == 1 & !is.na(abpoorg), abpoorg, abpoor)",binary,NA
ABRAPE,Legalized abortion,ABRAPEG,gridded experiment (-g),1,Social Attitudes & Morality,1,"if_else(form == 1 & !is.na(abrapeg), abrapeg, abrape)",binary,NA
ABSINGLE,Legalized abortion,ABSINGLEG,gridded experiment (-g),1,Social Attitudes & Morality,1,"if_else(form == 1 & !is.na(absingleg), absingleg, absingle)",binary,NA
AFFRMACT,Racial attitudes and stereotypes,NA,NA,1,Race & Inequality,NA,NA,binary,"to0=1:2, to1=3:4"
AGED,Subjective well-being and social life orientations,"AGEDV,AGEDNV",volunteered response variant (-v/-nv),0,NA,NA,NA,NA,NA
ATTEND,Religious attitudes and behavior,NA,NA,1,Religion,NA,NA,binary,"to0=0:4, to1=5:8"
BIBLE,Religious attitudes and behavior,"BIBLEV,BIBLENV",volunteered response variant (-v/-nv),1,Religion,1,"if_else(!is.na(biblev), biblev, if_else(!is.na(biblenv), biblenv, bible))",binary,"to0=2:4, to1=1"
CAPPUN,Crime punishment and firearms,NA,NA,1,"Crime, Punishment & Firearms",NA,NA,binary,"to0=2, to1=1"
CHLDIDEL,Family & children,NA,NA,1,Social Attitudes & Morality,NA,NA,binary,"to0=0:2, to1=3:8"
CLASS,Class identification and economic well-being,NA,NA,1,Political & Economic Orientations,NA,NA,4-cat,"to0=1:2, to1=3:4"
COLATH,Civil liberties (Stouffer),NA,NA,1,Civil Liberties & Government,NA,NA,binary,"to0=4, to1=5"
COLCOM,Civil liberties (Stouffer),COLCOMY,gender-neutral wording experiment (-y),1,Civil Liberties & Government,1,"if_else(form == 2 & !is.na(colcomy), colcomy, colcom)",binary,"to0=4, to1=5"
COLHOMO,Civil liberties (Stouffer),NA,NA,0,Civil Liberties & Government,NA,NA,NA,NA
COLMIL,Civil liberties (Stouffer),NA,NA,0,Civil Liberties & Government,NA,NA,NA,NA
COLMSLM,Civil liberties (Stouffer),NA,NA,1,Civil Liberties & Government,NA,NA,binary,"to0=4, to1=5"
COLRAC,Civil liberties (Stouffer),NA,NA,1,Civil Liberties & Government,NA,NA,binary,"to0=4, to1=5"
CONARMY,Confidence in institutions,NA,NA,1,Institutional Confidence,NA,NA,3-cat,NA
CONBUS,Confidence in institutions,NA,NA,1,Institutional Confidence,NA,NA,3-cat,NA
CONCLERG,Confidence in institutions,NA,NA,1,Institutional Confidence,NA,NA,3-cat,NA
CONEDUC,Confidence in institutions,NA,NA,1,Institutional Confidence,NA,NA,3-cat,NA
CONFED,Confidence in institutions,NA,NA,1,Institutional Confidence,NA,NA,3-cat,NA
CONFINAN,Confidence in institutions,NA,NA,1,Institutional Confidence,NA,NA,3-cat,NA
CONJUDGE,Confidence in institutions,NA,NA,1,Institutional Confidence,NA,NA,3-cat,NA
CONLABOR,Confidence in institutions,CONLABORY,wording experiment (-y); implemented in QMD but variant not tracked in opinions CSV,1,Institutional Confidence,1,"if_else(form == 2 & !is.na(conlabory), conlabory, conlabor)",3-cat,NA
CONLEGIS,Confidence in institutions,NA,NA,1,Institutional Confidence,NA,NA,3-cat,NA
CONMEDIC,Confidence in institutions,NA,NA,1,Institutional Confidence,NA,NA,3-cat,NA
CONPRESS,Confidence in institutions,NA,NA,1,Institutional Confidence,NA,NA,3-cat,NA
CONSCI,Confidence in institutions,NA,NA,1,Institutional Confidence,NA,NA,3-cat,NA
CONTV,Confidence in institutions,NA,NA,1,Institutional Confidence,NA,NA,3-cat,NA
COURTS,Crime punishment and firearms,"COURTSV,COURTSNV",volunteered response variant (-v/-nv),1,"Crime, Punishment & Firearms",1,"if_else(!is.na(courtsv), courtsv, if_else(!is.na(courtsnv), courtsnv, courts))",binary,"to0=c(1,3), to1=2"
DISCAFF,Racial attitudes and stereotypes,NA,NA,1,Race & Inequality,NA,NA,3-cat,NA
